1,BUS-345,Managing Small Business Growth,6
2,CIT 280,Network Design,1
3,CIT-105,Programming Practice,1
4,CIT-150,Security+,1
5,CIT-235,Database Design,1
6,CIT-282,Advanced Network Administration,1
7,CIT-283,Advanced Network Administration,1
8,CIT-300,Administering Windows Server,1
9,CIT-381,Linux Technology,1
10,CIT-382,Cloud Technology Development,1
11,CIT-407,T-SQL Queries Design and Tuning,1
12,CIT-408,Database Management Operations,1
13,CIT-410,NoSQL Databases,1
14,CIT-435,Expert Systems,1
15,CIT-481,Security Ethical Hacking,1
16,MIT-522,Cloud Computing and Data Analytics,5
17,MIT-570,Network Technology Management,5
18,MIT-588,Software Development and Management,5
19,MIT-622,High Performance Databases,5
